gene_id	gene_short_name	GS-1_FPKM	GS-2_FPKM	GS-3_FPKM	CK-1_FPKM	CK-2_FPKM	CK-3_FPKM	M-1_FPKM	M-2_FPKM	M-3_FPKM	GS-1_count	GS-2_count	GS-3_count	CK-1_count	CK-2_count	CK-3_count	M-1_count	M-2_count	M-3_count
225471	Ticam2	0.895218	1.12929	1.23608	1.29848	1.36834	1.18084	1.05475	1.05184	0.944994	87.8097	111.296	118.369	125.58	137.416	114.43	99.5884	101.328	89.1642
77011	Ticrr	0.137385	0.166618	0.20171	0.183329	0.36373	0.105723	0.119811	0.129527	0.138806	33.4058	40.7421	48.8121	44.6506	90.381	25.8028	28.7472	31.4806	33.324
21846	Tie1	61.7386	64.1219	57.4339	66.1665	43.1036	69.6659	67.688	63.9293	55.9809	6507.46	6708.54	6003.89	7019.45	4529.19	7409.89	7232.99	6769.31	6002.82
211550	Tifa	7.25185	12.1807	10.678	5.90061	21.2079	5.62858	5.4453	5.67044	7.45654	424.732	721.434	595.507	340.461	1288.39	325.339	300.818	327.595	417.901
212937	Tifab	3.78839	4.90697	3.7102	4.85238	13.6107	3.56372	4.32728	3.74166	4.11347	416.141	539.585	407.581	529.296	1504.2	391.529	470.221	404.329	435.914
68140	Tigd2	12.8791	13.1373	16.5899	12.8889	12.0708	15.1611	15.4491	13.4242	12.9831	1161.57	1198.42	1414.33	1135.8	1136.22	1342.87	1291.57	1194.3	1123.11
332359	Tigd3	0.482019	0.810323	0.574236	0.770642	0.829804	0.55799	0.780566	0.566552	0.589484	25.7702	43.7233	29.2872	41.86	45.1905	30.2902	41.0674	30.4968	31.5227
403175	Tigd4	0.124291	0.0391487	0.156066	0.105011	0.0617876	0.161106	0.189509	0.159901	0.235205	12.4079	3.97484	14.6436	10.2324	6.45578	15.706	17.4536	15.7403	22.5162
105734	Tigd5	1.56827	1.47255	1.1986	1.71546	1.09267	1.59905	1.32445	1.65568	1.72297	186.118	174.893	137.894	204.649	130.96	191.838	156.056	195.77	204.447
100043314	Tigit	0.523773	0.194855	0.668503	0.328999	0.861047	0.30791	0.199062	0.193424	0.428544	13.3623	4.96855	17.0842	8.37199	22.1341	7.85302	5.13342	4.91885	10.8078
171284	Timd2	0	0.0111483	0	0	0.0366821	0.0128194	0.0244392	0.0114101	0.0108768	0	0.993711	0	0	3.68902	1.12186	2.05337	0.983769	0.900649
276891	Timd4	1.064	1.26779	1.48262	0.859155	1.86915	0.590413	0.510651	0.76763	1.30432	74.4473	88.4403	106.166	58.6039	130.96	40.387	34.9073	52.1398	85.5616
21853	Timeless	4.56649	7.91354	6.09429	5.99063	8.70434	4.34621	3.74602	3.61632	2.99006	633.757	1110.97	823.704	856.734	1241.35	617.023	522.582	518.446	440.417
30059	Timm10	6.22852	8.21526	5.82341	8.85484	12.9135	6.59977	7.10101	8.66832	9.10857	90.673	119.245	82.9805	131.161	190.907	97.6018	103.695	127.89	135.097
14356	Timm10b	21.542	23.9521	18.244	20.9913	27.9794	21.5994	18.9064	21.0354	21.4454	438.094	490.893	355.108	427.902	582.865	442.013	372.686	424.988	428.709
30055	Timm13	17.004	20.0513	14.8094	18.5041	24.7716	19.9944	15.6501	18.8497	20.9286	476.272	551.509	406.361	520.924	688.924	564.296	443.528	530.252	600.733
21854	Timm17a	40.0669	47.5365	41.18	45.5041	61.6781	42.3421	40.5723	46.9529	52.521	918.184	1094.08	931.09	1037.2	1440.56	968.165	908.615	1067.39	1182.55
21855	Timm17b	6.86178	7.32957	6.33719	7.75943	9.49572	7.39853	7.44272	8.03551	9.12907	308.288	330.906	280.669	346.973	430.693	333.192	331.619	361.043	403.491
67105	Timm21	13.3906	14.2514	12.9341	14.4836	13.136	14.822	16.0087	15.7619	17.8116	474.363	508.78	440.529	510.691	476.806	525.03	546.196	555.83	626.852
56322	Timm22	8.24645	9.59724	7.63777	9.64259	11.2838	7.90213	7.66344	8.33648	9.20776	568.854	663.799	506.425	659.527	793.139	550.833	514.369	568.619	618.746
53600	Timm23	35.3291	41.4018	35.0591	38.0844	54.6576	31.6446	33.1267	35.3138	42.9082	1086.17	1264.99	1061.66	1160.92	1710.78	968.165	999.99	1075.26	1287.03
21856	Timm44	12.3529	13.7089	11.4263	12.7133	15.2458	11.502	11.5474	12.5055	14.0774	734.929	817.824	669.946	762.781	921.332	688.822	682.745	757.502	857.418
66525	Timm50	10.8635	10.693	9.63845	12.1025	14.8693	11.9177	10.0667	9.80765	10.8714	293.017	286.189	262.365	330.229	402.103	321.974	280.285	266.601	298.115
30058	Timm8a1	7.08436	8.10977	7.33814	8.33448	13.7785	7.31488	7.95651	8.48136	10.213	208.071	237.497	200.13	235.346	415.015	208.666	212.524	242.007	278.3
223262	Timm8a2	0.0431109	0.0902479	0.0559193	0.125462	0.0826725	0	0.137918	0.0873882	0.157763	0.954453	1.98742	1.2203	2.79066	1.84451	0	3.08005	1.96754	3.6026
30057	Timm8b	54.1306	61.1342	50.1165	57.6944	64.5055	56.0683	55.4697	57.8274	70.2086	502.997	563.434	469.816	538.598	602.232	521.665	527.716	545.008	670.983
30056	Timm9	5.23472	6.64944	5.6851	7.22102	7.02643	5.90779	6.28125	7.15126	6.66289	130.76	156.013	140.335	172.091	170.617	141.354	148.869	168.224	165.719
76916	Timmdc1	6.5868	7.76923	7.27151	7.62036	9.06943	7.34206	6.35177	6.59262	8.44757	338.831	400.465	361.209	392.553	478.65	380.311	318.272	340.384	435.013
21857	Timp1	9.40965	45.4156	22.4638	11.1045	357.353	3.7941	2.03744	2.82838	6.06674	184.209	884.413	445.411	215.811	6994.4	74.0428	40.0407	55.0911	116.184
21858	Timp2	107.729	90.3949	109.593	104.486	69.339	98.7251	124.85	99.5242	98.5411	9242.92	7772.81	9252.33	8958.96	5991.89	8464.43	10591.3	8481.07	8341.81
